Experiment,Treatment,Colony_size,Plated_size,Plate_Dilution ,Volume_plated,Replicate,Plate_label,Plate_type,Phenotype,Predicted_count,Predicted_density,Count,Density,Volume_suspended,Cells_colony
2026-01-09_LFC,Mut-mono,large,large,6,100,1,large R1 -6,Tet50/Nal50,Mut,100,1.00E+09,162,1.62E+09,0.27,4.37E+08
2026-01-09_LFC,LFC-conj-co,small,small,5,100,1,small R1 -5,LB,Anc,100,1.00E+08,78,7.80E+07,0.27,2.11E+07
2026-01-09_LFC,LFC-conj-co,small,small,5,100,1,small R1 -5,Tet50/Nal50,Anc,100,1.00E+08,47,4.70E+07,0.27,1.27E+07
2026-01-09_LFC,LFC-conj-co,large,large,6,100,1,large R1 -6,LB,Mut,100,1.00E+09,80,8.00E+08,0.27,2.16E+08
2026-01-09_LFC,LFC-conj-co,large,large,6,100,1,large R1 -6,Tet50/Nal50,Mut,100,1.00E+09,71,7.10E+08,0.27,1.92E+08
2026-01-09_LFC,LFC-conj-co,small,large,5,100,2,large R2 -5,LB,Anc,100,1.00E+08,490,4.90E+08,0.27,1.32E+08
2026-01-09_LFC,LFC-conj-co,small,large,5,100,2,large R2 -5,Tet50/Nal50,Anc,100,1.00E+08,305,3.05E+08,0.27,8.24E+07
2026-01-09_LFC,LFC-conj-co,large,large,6,100,2,large R2 -6,LB,Mut,100,1.00E+09,92,9.20E+08,0.27,2.48E+08
2026-01-09_LFC,LFC-conj-co,large,large,6,100,2,large R2 -6,Tet50/Nal50,Mut,100,1.00E+09,71,7.10E+08,0.27,1.92E+08
2026-01-09_LFC,LFC-conj-co,small,large,5,100,3,large R3 -5,LB,Anc,100,1.00E+08,380,3.80E+08,0.27,1.03E+08
2026-01-09_LFC,LFC-conj-co,small,large,5,100,3,large R3 -5,Tet50/Nal50,Anc,100,1.00E+08,239,2.39E+08,0.27,6.45E+07
2026-01-09_LFC,LFC-conj-co,large,large,6,100,3,large R3 -6,LB,Mut,100,1.00E+09,43,4.30E+08,0.27,1.16E+08
2026-01-09_LFC,LFC-conj-co,large,large,6,100,3,large R3 -6,Tet50/Nal50,Mut,100,1.00E+09,41,4.10E+08,0.27,1.11E+08
2026-01-09_LFC,LFC-conj-co,small,small,4,100,4,small R4 -4,LB,Anc,100,1.00E+07,1292,1.29E+08,0.27,3.49E+07
2026-01-09_LFC,LFC-conj-co,small,small,4,100,4,small R4 -4,Tet50/Nal50,Anc,100,1.00E+07,604,6.04E+07,0.27,1.63E+07
2026-01-09_LFC,LFC-conj-co,large,large,6,100,4,large R4 -6,LB,Mut,100,1.00E+09,205,2.05E+09,0.27,5.54E+08
2026-01-09_LFC,LFC-conj-co,large,large,6,100,4,large R4 -6,Tet50/Nal50,Mut,100,1.00E+09,216,2.16E+09,0.27,5.83E+08
2026-01-09_LFC,LFC-conj-co,small,large,4,100,5,large R5 -4,LB,Anc,100,1.00E+07,2192,2.19E+08,0.27,5.92E+07
2026-01-09_LFC,LFC-conj-co,small,large,4,100,5,large R5 -4,Tet50/Nal50,Anc,100,1.00E+07,2504,2.50E+08,0.27,6.76E+07
2026-01-09_LFC,LFC-conj-co,large,large,6,100,5,large R5 -6,LB,Mut,100,1.00E+09,83,8.30E+08,0.27,2.24E+08
2026-01-09_LFC,LFC-conj-co,large,large,6,100,5,large R5 -6,Tet50/Nal50,Mut,100,1.00E+09,68,6.80E+08,0.27,1.84E+08
